"COUNTRY",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,"1999","2000","2001",2002,2003,2004
"AFGHANISTAN",0,0,0,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALBANIA",2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ALGERIA",18,14,17,19,20,19,20,21,22,21,23,23,22,22,23,24,23,22,23,23,23,21,22,22,21
"AMERICAN SAMOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGOLA",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,3,4,4,4,4,5,5
"ANTARCTICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTIGUA AND BARBUDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARGENTINA",25,25,26,27,28,26,28,29,30,30,27,30,30,32,32,32,35,35,37,38,37,35,33,36,39
"ARMENIA",,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,2
"ARUBA",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIA",54,54,56,56,59,61,62,65,68,72,72,72,75,77,76,78,81,89,91,96,96,100,102,101,105
"AUSTRIA",16,15,14,14,15,15,15,15,14,14,15,16,15,16,15,16,17,17,18,17,17,19,19,20,19
"AZERBAIJAN",,,,,,,,,,,,,16,14,12,12,11,10,13,13,12,8,10,9,10
"BAHAMAS, THE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BAHRAIN",2,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6
"BANGLADESH",2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,6,6,6,7,7,8,9,9,10,10
"BARBADOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BELARUS",,,,,,,,,,,,,25,22,18,17,16,16,15,16,16,15,14,15,15
"BELGIUM",36,37,35,31,32,32,32,32,31,33,34,35,34,34,35,35,37,38,40,38,39,39,38,40,40
"BELIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BENIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"BERMUDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHUTAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLIVIA",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,3
"BOSNIA AND HERZEGOVINA",,,,,,,,,,,,,5,4,1,2,1,3,3,3,4,4,4,4,4
"BOTSWANA",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BRAZIL",51,48,47,44,48,51,56,58,59,61,61,63,64,70,73,79,83,88,88,91,94,96,96,87,92
"BRUNEI",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"BULGARIA",25,24,25,25,25,26,26,26,25,23,20,15,15,14,14,14,14,15,13,12,13,14,13,14,13
"BURKINA FASO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BURMA",1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3
"BURUNDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMBODIA ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMEROON",1,1,1,2,2,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"CANADA",123,119,114,111,116,119,115,121,129,134,131,126,132,132,134,138,141,147,148,152,155,151,154,162,160
"CAPE VERDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAYMAN ISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
